Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
BnondefnondefSedangYes,10,13.57%,5,50%,5,5,0,0.00%,-6.09%,3,3,30.00%,12.08%,2,2,20.00%,7.58%
BnondefnondefSedangNo,2,-0.42%,1,50%,1,1,0,0.00%,-2.00%,1,1,50.00%,1.58%,0,0,0.00%,0.00%
BnondefnondefBesarYes,3,2.49%,2,67%,1,1,0,0.00%,-0.84%,1,1,33.33%,1.62%,1,1,33.33%,1.71%
BnondefnondefBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefMendekatiKecilYes,5,12.99%,5,100%,0,0,0,0.00%,0.00%,2,2,40.00%,6.36%,3,3,60.00%,6.63%
BnondefMendekatiKecilNo,4,4.85%,2,50%,1,1,0,0.00%,-0.48%,2,2,50.00%,6.19%,1,0,0.00%,-0.86%
BnondefMendekatiSedangYes,3,6.27%,2,67%,1,1,0,0.00%,-0.96%,1,1,33.33%,6.87%,1,1,33.33%,0.36%
BnondefMendekatiSedangNo,2,3.29%,1,50%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,1,1,50.00%,4.29%
BnondefMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BnondefMendekatiBesarNo,1,-1.22%,0,0%,1,1,0,0.00%,-1.22%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiCuramBesarYes,2,2.85%,2,100%,0,0,0,0.00%,0.00%,2,2,100.00%,2.85%,0,0,0.00%,0.00%
BMendekatiCuramBesarNo,7,29.27%,4,57%,1,1,0,0.00%,-1.32%,2,1,14.29%,1.80%,4,3,42.86%,28.79%
BMendekatiJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiJauhSedangYes,3,-0.27%,1,33%,2,2,0,0.00%,-2.00%,1,1,33.33%,1.73%,0,0,0.00%,0.00%
BMendekatiJauhSedangNo,5,-1.56%,1,20%,2,2,0,0.00%,-2.00%,2,0,0.00%,-0.98%,1,1,20.00%,1.42%
BMendekatiJauhBesarYes,3,6.24%,3,100%,0,0,0,0.00%,0.00%,2,2,66.67%,0.70%,1,1,33.33%,5.54%
BMendekatiJauhBesarNo,12,53.76%,10,83%,1,1,0,0.00%,-2.00%,6,6,50.00%,32.09%,5,4,33.33%,23.67%
BMendekatiTdk JauhKecilYes,4,4.04%,3,75%,0,0,0,0.00%,0.00%,2,2,50.00%,3.20%,2,1,25.00%,0.84%
BMendekatiTdk JauhKecilNo,10,10.26%,5,50%,4,4,0,0.00%,-3.59%,4,3,30.00%,3.30%,2,2,20.00%,10.55%
BMendekatiTdk JauhSedangYes,9,-3.46%,3,33%,3,3,0,0.00%,-4.82%,3,2,22.22%,2.65%,3,1,11.11%,-1.29%
BMendekatiTdk JauhSedangNo,21,36.66%,12,57%,6,6,0,0.00%,-7.12%,10,8,38.10%,28.33%,5,4,19.05%,15.45%
BMendekatiTdk JauhBesarYes,6,16.58%,4,67%,1,1,0,0.00%,-0.68%,3,3,50.00%,13.75%,2,1,16.67%,3.51%
BMendekatiTdk JauhBesarNo,5,0.45%,3,60%,3,3,1,20.00%,-2.59%,1,1,20.00%,0.55%,1,1,20.00%,2.49%
BMendekatinondefKecilYes,4,1.62%,2,50%,2,2,0,0.00%,-2.98%,1,1,25.00%,2.56%,1,1,25.00%,2.04%
BMendekatinondefKecilNo,11,16.87%,7,64%,2,2,1,9.09%,-2.95%,5,4,36.36%,9.59%,4,2,18.18%,10.23%
BMendekatinondefSedangYes,7,5.33%,4,57%,3,3,0,0.00%,-3.18%,2,2,28.57%,4.52%,2,2,28.57%,3.99%
BMendekatinondefSedangNo,3,2.82%,3,100%,0,0,0,0.00%,0.00%,3,3,100.00%,2.82%,0,0,0.00%,0.00%
BMendekatinondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatinondefBesarNo,1,1.44%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.44%,0,0,0.00%,0.00%
BMendekatiMendekatiKecilYes,4,13.03%,4,100%,0,0,0,0.00%,0.00%,4,4,100.00%,13.03%,0,0,0.00%,0.00%
BMendekatiMendekatiKecilNo,3,2.99%,1,33%,2,2,0,0.00%,-1.90%,0,0,0.00%,0.00%,1,1,33.33%,4.89%
BMendekatiMendekatiSedangYes,4,-3.81%,1,25%,2,2,0,0.00%,-4.22%,2,1,25.00%,0.41%,0,0,0.00%,0.00%
BMendekatiMendekatiSedangNo,1,-1.06%,0,0%,1,1,0,0.00%,-1.06%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
BMendekatiMendekatiBesarYes,1,0.60%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,0.60%,0,0,0.00%,0.00%
BMendekatiMendekatiBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramCuramBesarNo,1,1.42%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.42%,0,0,0.00%,0.00%
CCuramJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramJauhBesarYes,1,11.73%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,11.73%,0,0,0.00%,0.00%
CCuramJauhBesarNo,3,3.43%,1,33%,1,1,0,0.00%,-1.17%,2,1,33.33%,4.60%,0,0,0.00%,0.00%
CCuramTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramTdk JauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramTdk JauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramTdk JauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramnondefKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramnondefKecilNo,1,1.01%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.01%,0,0,0.00%,0.00%
CCuramnondefSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramnondefSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramnondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramnondefBesarNo,1,2.11%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,2.11%,0,0,0.00%,0.00%
CCuramMendekatiKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramMendekatiKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramMendekatiSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramMendekatiSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CCuramMendekatiBesarNo,2,9.35%,2,100%,0,0,0,0.00%,0.00%,1,1,50.00%,1.72%,1,1,50.00%,7.63%
CJauhCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhCuramBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhCuramBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhJauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhTdk JauhBesarNo,3,6.88%,3,100%,0,0,0,0.00%,0.00%,2,2,66.67%,3.13%,1,1,33.33%,3.75%
CJauhnondefKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhnondefKecilNo,1,-0.13%,0,0%,0,0,0,0.00%,0.00%,1,0,0.00%,-0.13%,0,0,0.00%,0.00%
CJauhnondefSedangYes,1,1.67%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.67%,0,0,0.00%,0.00%
CJauhnondefSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhnondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhnondefBesarNo,1,0.21%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,0.21%,0,0,0.00%,0.00%
CJauhMendekatiKecilYes,3,1.51%,2,67%,1,1,0,0.00%,-1.00%,2,2,66.67%,2.51%,0,0,0.00%,0.00%
CJauhMendekatiKecilNo,1,3.30%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,3.30%,0,0,0.00%,0.00%
CJauhMendekatiSedangYes,1,2.22%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,2.22%,0,0,0.00%,0.00%
CJauhMendekatiSedangNo,3,6.30%,3,100%,0,0,0,0.00%,0.00%,2,2,66.67%,6.29%,1,1,33.33%,0.01%
CJauhMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CJauhMendekatiBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhCuramBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhJauhBesarNo,2,1.98%,1,50%,0,0,0,0.00%,0.00%,1,0,0.00%,-0.17%,1,1,50.00%,2.15%
CTdk JauhTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhTdk JauhKecilNo,1,-1.18%,0,0%,1,1,0,0.00%,-1.18%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhTdk JauhSedangNo,2,2.94%,1,50%,1,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,1,1,50.00%,4.94%
CTdk JauhTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhTdk JauhBesarNo,6,11.02%,4,67%,2,2,0,0.00%,-2.59%,2,2,33.33%,2.33%,2,2,33.33%,11.28%
CTdk JauhnondefKecilYes,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhnondefKecilNo,3,1.99%,2,67%,1,1,0,0.00%,-1.00%,1,1,33.33%,0.43%,1,1,33.33%,2.56%
CTdk JauhnondefSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhnondefSedangNo,5,9.68%,3,60%,1,1,0,0.00%,-1.39%,3,2,40.00%,2.91%,1,1,20.00%,8.16%
CTdk JauhnondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhnondefBesarNo,1,1.36%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.36%,0,0,0.00%,0.00%
CTdk JauhMendekatiKecilYes,4,-2.54%,2,50%,1,1,0,0.00%,-0.49%,3,2,50.00%,-2.05%,0,0,0.00%,0.00%
CTdk JauhMendekatiKecilNo,6,18.27%,6,100%,0,0,0,0.00%,0.00%,4,4,66.67%,7.73%,2,2,33.33%,10.54%
CTdk JauhMendekatiSedangYes,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhMendekatiSedangNo,10,22.25%,8,80%,2,2,0,0.00%,-2.59%,6,6,60.00%,9.22%,2,2,20.00%,15.62%
CTdk JauhMendekatiBesarYes,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CTdk JauhMendekatiBesarNo,3,10.99%,1,33%,1,1,0,0.00%,-1.00%,1,0,0.00%,-0.69%,1,1,33.33%,12.68%
CnondefCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefCuramBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefCuramBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefJauhBesarYes,1,2.99%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,2.99%,0,0,0.00%,0.00%
CnondefJauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefTdk JauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefTdk JauhKecilNo,1,2.64%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,2.64%
CnondefTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefTdk JauhSedangNo,3,4.10%,3,100%,0,0,0,0.00%,0.00%,3,3,100.00%,4.10%,0,0,0.00%,0.00%
CnondefTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefTdk JauhBesarNo,1,-1.00%,0,0%,1,1,0,0.00%,-1.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefnondefKecilYes,2,4.05%,2,100%,0,0,0,0.00%,0.00%,2,2,100.00%,4.05%,0,0,0.00%,0.00%
CnondefnondefKecilNo,5,1.20%,3,60%,1,1,0,0.00%,-1.00%,3,3,60.00%,2.24%,1,0,0.00%,-0.04%
CnondefnondefSedangYes,5,4.28%,3,60%,2,2,1,20.00%,-0.94%,3,2,40.00%,5.22%,0,0,0.00%,0.00%
CnondefnondefSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefnondefBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefnondefBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefMendekatiKecilYes,6,17.47%,4,67%,2,2,0,0.00%,-2.10%,3,3,50.00%,9.18%,1,1,16.67%,10.39%
CnondefMendekatiKecilNo,11,10.55%,6,55%,3,3,0,0.00%,-2.00%,6,5,45.45%,12.36%,2,1,9.09%,0.19%
CnondefMendekatiSedangYes,1,3.09%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,3.09%,0,0,0.00%,0.00%
CnondefMendekatiSedangNo,3,5.15%,2,67%,1,1,0,0.00%,-1.00%,2,2,66.67%,6.15%,0,0,0.00%,0.00%
CnondefMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CnondefMendekatiBesarNo,1,2.71%,1,100%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,1,1,100.00%,2.71%
CMendekatiCuramKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiCuramKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiCuramSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiCuramSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiCuramBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiCuramBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhKecilYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhSedangNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiJauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiTdk JauhKecilYes,1,1.88%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,1.88%,0,0,0.00%,0.00%
CMendekatiTdk JauhKecilNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiTdk JauhSedangYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiTdk JauhSedangNo,2,-1.29%,0,0%,1,1,0,0.00%,-1.00%,1,0,0.00%,-0.29%,0,0,0.00%,0.00%
CMendekatiTdk JauhBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiTdk JauhBesarNo,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatinondefKecilYes,2,2.21%,2,100%,0,0,0,0.00%,0.00%,2,2,100.00%,2.21%,0,0,0.00%,0.00%
CMendekatinondefKecilNo,2,8.35%,1,50%,1,1,0,0.00%,-2.00%,0,0,0.00%,0.00%,1,1,50.00%,10.35%
CMendekatinondefSedangYes,4,9.98%,3,75%,1,1,0,0.00%,-1.89%,3,3,75.00%,11.87%,0,0,0.00%,0.00%
CMendekatinondefSedangNo,1,5.73%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,5.73%,0,0,0.00%,0.00%
CMendekatinondefBesarYes,1,0.74%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,0.74%,0,0,0.00%,0.00%
CMendekatinondefBesarNo,4,-0.57%,2,50%,2,2,0,0.00%,-2.60%,2,2,50.00%,2.03%,0,0,0.00%,0.00%
CMendekatiMendekatiKecilYes,7,5.36%,4,57%,2,2,0,0.00%,-2.58%,5,4,57.14%,7.94%,0,0,0.00%,0.00%
CMendekatiMendekatiKecilNo,4,5.66%,4,100%,0,0,0,0.00%,0.00%,3,3,75.00%,4.09%,1,1,25.00%,1.57%
CMendekatiMendekatiSedangYes,3,0.47%,2,67%,1,1,0,0.00%,-2.12%,1,1,33.33%,0.11%,1,1,33.33%,2.48%
CMendekatiMendekatiSedangNo,6,8.57%,3,50%,3,3,0,0.00%,-3.00%,2,2,33.33%,5.70%,1,1,16.67%,5.87%
CMendekatiMendekatiBesarYes,0,0.00%,0,0%,0,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0,0,0.00%,0.00%
CMendekatiMendekatiBesarNo,1,3.68%,1,100%,0,0,0,0.00%,0.00%,1,1,100.00%,3.68%,0,0,0.00%,0.00%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
