Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
ATdk JauhMendekatiBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
ATdk JauhMendekatiBesarNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefCuramKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefCuramKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefCuramSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefCuramSedangNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefCuramBesarYes,1,4.08%,1,100.00%,4.08%,,,,,,,,,,,,
AnondefCuramBesarNo,3,3.72%,1,33.00%,1.24%,,,,,,,,,,,,
AnondefJauhKecilYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefJauhKecilNo,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefJauhSedangYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefJauhSedangNo,1,0.90%,1,100.00%,0.90%,,,,,,,,,,,,
AnondefJauhBesarYes,4,20.06%,3,75.00%,5.02%,,,,,,,,,,,,
AnondefJauhBesarNo,5,3.85%,2,40.00%,0.77%,,,,,,,,,,,,
AnondefTdk JauhKecilYes,1,0.85%,1,100.00%,0.85%,,,,,,,,,,,,
AnondefTdk JauhKecilNo,5,6.69%,4,80.00%,1.34%,,,,,,,,,,,,
AnondefTdk JauhSedangYes,6,2.12%,3,50.00%,0.35%,,,,,,,,,,,,
AnondefTdk JauhSedangNo,16,21.30%,13,81.00%,1.33%,,,,,,,,,,,,
AnondefTdk JauhBesarYes,1,2.85%,1,100.00%,2.85%,,,,,,,,,,,,
AnondefTdk JauhBesarNo,3,13.46%,3,100.00%,4.49%,,,,,,,,,,,,
AnondefnondefKecilYes,7,8.42%,5,71.00%,1.20%,,,,,,,,,,,,
AnondefnondefKecilNo,16,9.65%,9,56.00%,0.60%,,,,,,,,,,,,
AnondefnondefSedangYes,12,-1.35%,7,58.00%,-0.11%,,,,,,,,,,,,
AnondefnondefSedangNo,9,12.79%,5,56.00%,1.42%,,,,,,,,,,,,
AnondefnondefBesarYes,0,0.00%,0,0.00%,0.00%,,,,,,,,,,,,
AnondefnondefBesarNo,6,16.54%,5,83.00%,2.76%,,,,,,,,,,,,
