Combination,freq,sumoutput,win,wr,avg out,freqnon,winnon,wrnon,sumnon,freqab,winab,wrab,sumab,freqinv,wininv,wrinv,suminv
ATdk JauhJauhBesarNo,3,-0.22%,1,33%,-0.07%,,,,,,,,,,,,
ATdk JauhTdk JauhKecilYes,1,0.00%,0,0%,0.00%,,,,,,,,,,,,
ATdk JauhTdk JauhKecilNo,1,2.86%,1,100%,2.86%,,,,,,,,,,,,
ATdk JauhTdk JauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ATdk JauhTdk JauhSedangNo,10,9.71%,5,50%,0.97%,,,,,,,,,,,,
ATdk JauhTdk JauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ATdk JauhTdk JauhBesarNo,2,6.67%,2,100%,3.34%,,,,,,,,,,,,
ATdk JauhnondefKecilYes,1,-1.00%,0,0%,-1.00%,,,,,,,,,,,,
ATdk JauhnondefKecilNo,4,3.24%,2,50%,0.81%,,,,,,,,,,,,
ATdk JauhnondefSedangYes,2,0.30%,1,50%,0.15%,,,,,,,,,,,,
ATdk JauhnondefSedangNo,4,13.33%,1,25%,3.33%,,,,,,,,,,,,
ATdk JauhnondefBesarYes,1,4.93%,1,100%,4.93%,,,,,,,,,,,,
ATdk JauhnondefBesarNo,1,0.04%,1,100%,0.04%,,,,,,,,,,,,
ATdk JauhMendekatiKecilYes,3,1.30%,2,67%,0.43%,,,,,,,,,,,,
ATdk JauhMendekatiKecilNo,4,-1.35%,1,25%,-0.34%,,,,,,,,,,,,
ATdk JauhMendekatiSedangYes,6,1.69%,3,50%,0.28%,,,,,,,,,,,,
ATdk JauhMendekatiSedangNo,4,4.81%,3,75%,1.20%,,,,,,,,,,,,
ATdk JauhMendekatiBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
ATdk JauhMendekatiBesarNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramSedangNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefCuramBesarNo,3,3.72%,1,33%,1.24%,,,,,,,,,,,,
AnondefJauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefJauhKecilNo,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefJauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefJauhSedangNo,1,0.90%,1,100%,0.90%,,,,,,,,,,,,
AnondefJauhBesarYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefJauhBesarNo,4,1.44%,1,25%,0.36%,,,,,,,,,,,,
AnondefTdk JauhKecilYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
AnondefTdk JauhKecilNo,2,0.31%,1,50%,0.16%,,,,,,,,,,,,
AnondefTdk JauhSedangYes,0,0.00%,0,0%,0.00%,,,,,,,,,,,,
